Symbol,Sector
A007810,하드웨어
A007820,자본재
A007860,자동차_및_부품
A007980,내구_소비재_및_의류
A008040,음식료_및_담배
A008060,하드웨어
A008110,하드웨어
A008250,소재
A008260,소재
A008290,내구_소비재_및_의류
A008350,소재
A008370,소재
A008420,소재
A008470,자본재
A008490,제약_및_바이오
A008500,자동차_및_부품
A008560,증권
A008600,내구_소비재_및_의류
A008700,내구_소비재_및_의류
A008730,소재
A008770,유통
A008800,
A008830,자본재
A008870,소재
A008930,제약_및_바이오
A008970,소재
A009070,운송
A009140,하드웨어
A009150,하드웨어
A009160,자본재
A009180,운송
A009190,소재
A009200,소재
A009240,내구_소비재_및_의류
A009270,내구_소비재_및_의류
A009290,제약_및_바이오
A009300,제약_및_바이오
A009310,
A009320,자동차_및_부품
A009410,자본재
A009420,제약_및_바이오
A009440,상업서비스
A009450,내구_소비재_및_의류
A009460,소재
A009470,하드웨어
A009520,소재
A009540,자본재
A009580,소재
A009620,소재
A009680,자동차_및_부품
A009730,
A009770,생활용품
A009780,음식료_및_담배
A009810,미디어
A009830,소재
A009970,내구_소비재_및_의류
A010040,소재
A010050,기타금융
A010060,에너지
A010100,자동차_및_부품
A010120,자본재
A010130,소재
A010140,자본재
A010170,하드웨어
A010240,자본재
A010280,소프트웨어
A010400,자본재
A010420,소재
A010470,미디어
A010580,
A010600,내구_소비재_및_의류
A010620,자본재
A010640,소재
A010660,자본재
A010690,자동차_및_부품
A010770,자동차_및_부품
A010780,자본재
A010820,상업서비스
A010950,에너지
A010960,자본재
A011000,제약_및_바이오
A011040,제약_및_바이오
A011070,하드웨어
A011080,내구_소비재_및_의류
A011090,내구_소비재_및_의류
A011150,음식료_및_담배
A011160,
A011170,소재
A011200,운송
A011210,자동차_및_부품
A011230,자본재
A011280,소재
A011300,내구_소비재_및_의류
A011320,자동차_및_부품
A011330,내구_소비재_및_의류
A011370,자본재
A011390,소재
A011420,미디어
A011500,소재
A011560,자본재
A011690,
A011700,자본재
A011760,자본재
A011780,소재
A011790,소재
A011810,자본재
A011930,에너지
A012030,소프트웨어
A012160,소재
A012170,
A012200,자동차_및_부품
A012280,자동차_및_부품
A012320,유틸리티
A012330,자동차_및_부품
A012340,자본재
A012450,상업서비스
A012510,소프트웨어
A012600,
A012610,소재
A012620,소재
A012630,소재
A012690,생활용품
A012700,기타금융
A012750,상업서비스
A012790,제약_및_바이오
A012800,소재
A012860,자동차_및_부품
A013000,소재
A013030,자본재
A013120,자본재
A013310,자동차_및_부품
A013360,자본재
A013520,자동차_및_부품
A013570,자본재
A013580,자본재
A013700,자본재
A013720,자동차_및_부품
A013810,자본재
A013870,자동차_및_부품
A013890,내구_소비재_및_의류
A013990,내구_소비재_및_의류
A014100,
A014130,운송
A014160,소재
A014190,소재
A014200,자본재
A014280,자본재
A014440,소재
A014470,내구_소비재_및_의류
A014530,에너지
A014570,제약_및_바이오
A014580,소재
A014620,자본재
A014680,소재
A014710,음식료_및_담배
A014790,자본재
A014820,소재
A014830,소재
A014910,자본재
A014940,자본재
A014970,소재
A014990,내구_소비재_및_의류
A015020,미디어
A015230,자본재
A015260,하드웨어
A015350,유틸리티
A015360,유틸리티
A015540,유통
A015590,자본재
A015710,소프트웨어
A015750,자동차_및_부품
A015760,유틸리티
A015860,자본재
A015890,자본재
A016090,내구_소비재_및_의류
A016100,생활용품
A016170,
A016250,자본재
A016360,증권
A016380,
A016450,내구_소비재_및_의류
A016580,제약_및_바이오
A016590,소재
A016600,기타금융
A016610,증권
A016670,소프트웨어
A016710,유틸리티
A016740,자동차_및_부품
A016790,음식료_및_담배
A016800,내구_소비재_및_의류
A016880,자본재
A016920,자본재
A017000,자본재
A017040,자본재
A017180,제약_및_바이오
A017250,하드웨어
A017370,자동차_및_부품
A017390,유틸리티
A017480,소재
A017510,자본재
A017550,자본재
A017650,소재
A017670,통신서비스
A017680,
A017800,자본재
A017810,음식료_및_담배
A017890,소재
A017900,하드웨어
A017940,에너지
A017960,소재
A018000,에너지
A018120,음식료_및_담배
A018250,생활용품
A018260,소프트웨어
A018290,소재
A018310,자본재
A018470,소재
A018500,자동차_및_부품
A018620,제약_및_바이오
A018670,에너지
A018680,제약_및_바이오
A018700,
A018880,자동차_및_부품
A019010,유통
A019170,제약_및_바이오
A019180,자동차_및_부품
A019210,자본재
A019440,소재
A019490,하드웨어
A019540,자동차_및_부품
A019550,기타금융
A019570,기타금융
A019590,기타금융
A019660,생활용품
A019680,소비자_서비스
A019770,자동차_및_부품
A019990,자본재
A020000,내구_소비재_및_의류
A020120,미디어
A020150,하드웨어
A020180,소프트웨어
A020400,자동차_및_부품
A020560,운송
A020710,소비자_서비스
A020760,디스플레이
A021040,소재
A021050,소재
A021080,기타금융
A021240,내구_소비재_및_의류
A021320,자본재
A021650,자동차_및_부품
A021820,자동차_및_부품
A021880,
A022100,소프트웨어
A022220,자본재
A023000,자동차_및_부품
A023150,음식료_및_담배
A023160,자본재
A023350,자본재
A023410,소재
A023440,소재
A023450,소재
A023460,기타금융
A023530,유통
A023590,증권
A023600,소재
A023760,기타금융
A023770,소프트웨어
A023790,소재
A023800,자동차_및_부품
A023810,자동차_및_부품
A023890,하드웨어
A023900,음식료_및_담배
A023910,제약_및_바이오
A023960,자본재
A024060,에너지
A024070,소재
A024090,소재
A024110,은행
A024120,자동차_및_부품
A024660,
A024720,생활용품
A024740,자동차_및_부품
A024800,운송
A024810,자본재
A024830,
A024840,자본재
A024850,반도체
A024880,자본재
A024890,내구_소비재_및_의류
A024900,자동차_및_부품
A024910,자동차_및_부품
A024940,내구_소비재_및_의류
A024950,내구_소비재_및_의류
A025000,소재
A025320,하드웨어
A025440,자동차_및_부품
A025530,자동차_및_부품
A025540,자동차_및_부품
A025550,소재
A025560,반도체
A025620,생활용품
A025750,소재
A025770,상업서비스
A025820,소재
A025860,소재
A025870,음식료_및_담배
A025880,음식료_및_담배
A025890,소재
A025900,소재
A025950,자본재
A025980,소비자_서비스
A026040,내구_소비재_및_의류
A026150,자본재
A026180,
A026260,
A026890,내구_소비재_및_의류
A026910,소재
A026940,소재
A026960,음식료_및_담배
A027040,자본재
A027050,생활용품
A027360,기타금융
A027390,
A027410,유통
A027580,디스플레이
A027710,음식료_및_담배
A027740,음식료_및_담배
A027830,기타금융
A027970,소재
A028040,
A028050,자본재
A028080,하드웨어
A028100,자본재
A028150,유통
A028260,자본재
A028300,자본재
A028670,운송
A029460,반도체
A029480,소프트웨어
A029530,하드웨어
A029780,기타금융
A029960,상업서비스
A030000,미디어
A030190,상업서비스
A030200,통신서비스
A030210,증권
A030270,
A030350,소프트웨어
A030520,소프트웨어
A030530,반도체
A030610,증권
A030720,음식료_및_담배
A030790,소프트웨어
A030960,상업서비스
A031310,하드웨어
A031330,반도체
A031390,제약_및_바이오
A031430,내구_소비재_및_의류
A031440,음식료_및_담배
A031510,자동차_및_부품
A031820,하드웨어
A031860,하드웨어
A031980,반도체
A032080,내구_소비재_및_의류
A032190,증권
A032280,운송
A032300,제약_및_바이오
A032350,소비자_서비스
A032500,하드웨어
A032540,내구_소비재_및_의류
A032560,소재
A032580,반도체
A032620,의료장비_및_서비스
A032640,통신서비스
A032680,소프트웨어
A032750,내구_소비재_및_의류
A032790,
A032800,미디어
A032820,에너지
A032830,보험
A032850,의료장비_및_서비스
A032860,소재
A032940,의료장비_및_서비스
A032960,하드웨어
A032980,제약_및_바이오
A033050,디스플레이
A033100,자본재
A033110,
A033130,미디어
A033160,반도체
A033170,반도체
A033180,생활용품
A033200,하드웨어
A033230,소프트웨어
A033240,하드웨어
A033250,자동차_및_부품
A033270,제약_및_바이오
A033290,내구_소비재_및_의류
A033310,소재
A033320,하드웨어
A033340,내구_소비재_및_의류
A033430,
A033500,소재
A033530,자동차_및_부품
A033540,자본재
A033560,하드웨어
A033600,
A033640,반도체
A033660,기타금융
A033780,음식료_및_담배
A033790,
A033830,미디어
A033920,음식료_및_담배
A034020,자본재
A034120,미디어
A034220,디스플레이
A034230,소비자_서비스
A034300,자본재
A034310,소프트웨어
A034590,유틸리티
A034730,에너지
A034810,부동산
A034830,부동산
A034940,제약_및_바이오
A034950,상업서비스
A035000,미디어
A035080,유통
A035150,내구_소비재_및_의류
A035200,자본재
A035250,소비자_서비스
A035290,
A035420,소프트웨어
A035460,하드웨어
A035480,
A035510,소프트웨어
A035600,소프트웨어
A035610,의료장비_및_서비스
A035620,소프트웨어
A035720,소프트웨어
A035760,미디어
A035810,음식료_및_담배
A035890,자본재
A035900,미디어
A036000,운송
A036010,하드웨어
A036030,유통
A036090,디스플레이
A036120,상업서비스
A036170,디스플레이
A036180,
A036190,자본재
A036200,반도체
A036260,
A036420,미디어
A036460,유틸리티
A036480,제약_및_바이오
A036490,에너지
A036530,자동차_및_부품
A036540,반도체
A036560,자본재
A036570,소프트웨어
A036580,음식료_및_담배
A036620,소재
A036630,통신서비스
A036640,소재
A036670,소재
A036690,하드웨어
A036710,하드웨어
A036800,상업서비스
A036810,반도체
A036830,반도체
A036890,자본재
A036930,반도체
A037030,자본재
A037070,내구_소비재_및_의류
A037230,소재
A037270,미디어
A037330,디스플레이
A037350,자본재
A037370,소재
A037400,디스플레이
A037440,자본재
A037460,하드웨어
A037560,미디어
A037710,유통
A037760,소재
A037950,하드웨어
A038010,자본재
A038060,디스플레이
A038070,제약_및_바이오
A038110,자동차_및_부품
A038160,
A038290,제약_및_바이오
A038340,
A038390,소비자_서비스
A038460,하드웨어
A038500,소재
A038530,유통
A038540,은행
A038620,운송
A038680,하드웨어
