Symbol,itemname
A000020,동화약품
A000030,우리은행
A000040,KR모터스
A000050,경방
A000060,메리츠화재
A000070,삼양홀딩스
A000080,하이트진로
A000100,유한양행
A000120,CJ대한통운
A000140,하이트진로홀딩스
A000150,두산
A000180,성창기업지주
A000210,대림산업
A000220,유유제약
A000230,일동홀딩스
A000240,한국테크놀로지그룹
A000250,삼천당제약
A000270,기아차
A000300,대유플러스
A000320,노루홀딩스
A000370,한화손해보험
A000390,삼화페인트
A000400,롯데손해보험
A000430,대원강업
A000440,중앙에너비스
A000480,조선내화
A000490,대동공업
A000500,가온전선
A000520,삼일제약
A000540,흥국화재
A000590,CS홀딩스
A000640,동아쏘시오홀딩스
A000650,천일고속
A000660,SK하이닉스
A000670,영풍
A000680,LS네트웍스
A000700,유수홀딩스
A000720,현대건설
A000760,이화산업
A000810,삼성화재
A000850,화천기공
A000860,강남제비스코
A000880,한화
A000890,보해양조
A000910,유니온
A000950,전방
A000970,한국주철관
A000990,DB하이텍
A001000,신라섬유
A001020,페이퍼코리아
A001040,CJ
A001060,JW중외제약
A001070,대한방직
A001080,만호제강
A001120,LG상사
A001130,대한제분
A001140,국보
A001200,유진투자증권
A001210,금호전기
A001230,동국제강
A001250,GS글로벌
A001260,남광토건
A001270,부국증권
A001290,상상인증권
A001340,백광산업
A001360,삼성제약
A001380,SG충방
A001390,KG케미칼
A001420,태원물산
A001430,세아베스틸
A001440,대한전선
A001450,현대해상
A001460,BYC
A001470,삼부토건
A001500,현대차증권
A001510,SK증권
A001520,동양
A001530,DI동일
A001540,안국약품
A001550,조비
A001560,제일연마
A001570,금양
A001620,케이비아이동국실업
A001630,종근당홀딩스
A001680,대상
A001720,신영증권
A001740,SK네트웍스
A001750,한양증권
A001770,신화실업
A001780,알루코
A001790,대한제당
A001800,오리온홀딩스
A001810,무림SP
A001820,삼화콘덴서
A001840,이화공영
A001880,대림건설
A001940,KISCO홀딩스
A002000,한국유리
A002020,코오롱
A002030,아세아
A002070,비비안
